van postcode,tot postcode,plaats,gemeente,provincie
3218,3225,2e Vlotbrug,Bernisse,Zuid-Holland
1243,1243,'s-Graveland,Wijdemeren,Noord-Holland
5109,5109,'s Gravenmoer,Dongen,Noord-Brabant
7701,7701,'t Bergje,Hardenberg,Overijssel
1751,1751,'t Buurtje,Zijpe,Noord-Holland
5641,5641,'t Coll,Eindhoven,Noord-Brabant
5076,5076,'t Eind,Haaren,Noord-Brabant
3997,3997,'t Goy,Houten,Utrecht
7847,7847,'t Haantje,Coevorden,Drenthe
7775,7775,'t Haantje,Hardenberg,Overijssel
9057,9057,'t Haantje,Leeuwarderadeel,Friesland
2288,2288,'t Haantje,Rijswijk,Zuid-Holland
4756,4756,'t Haantje,Steenbergen,Noord-Brabant
8084,8084,'t Harde,Elburg,Gelderland
6874,6874,'t Hazeleger,Renkum,Gelderland
8842,8842,'t Heechhout,Littenseradiel,Friesland
5993,5993,'t Heeske,Peel en Maas,Limburg
5826,5826,'t Herselt,Boxmeer,Noord-Brabant
4566,4566,'t Hoekje,Hulst,Zeeland
5056,5056,'t Hoekske,Tilburg,Noord-Brabant
5737,5737,'t Hof,Laarbeek,Noord-Brabant
4561,4561,'t Jagertje,Hulst,Zeeland
7157,7157,'t Kip,Berkelland,Gelderland
9356,9356,'t Kret,Leek,Groningen
8166,8166,'t Laar,Epe,Gelderland
9981,9981,'t Lage van de Weg,Eemsmond,Groningen
5854,5854,'t Leuken,Bergen,Limburg
7597,7597,'t Loo,Dinkelland,Overijssel
8095,8095,'t Loo,Oldebroek,Gelderland
4634,4634,'t Marktje,Woensdrecht,Noord-Brabant
7912,7912,'t Noorden,Hoogeveen,Drenthe
3882,3882,'t Oever,Putten,Gelderland
7136,7136,'t Rolder,Oost Gelre,Gelderland
6269,6269,'t Rooth,Eijsden-Margraten,Limburg
9141,9145,'t Schoor,Dongeradeel,Friesland
9965,9965,'t Stort,De Marne,Groningen
1735,1735,'t Veld,Hollands Kroon,Noord-Holland
7122,7122,'t Villeken,Aalten,Gelderland
4451,4451,'t Vlaandertje,Borsele,Zeeland
9940,9942,'t Waar,Oldambt,Groningen
5074,5074,'t Winkel,Haaren,Noord-Brabant
3862,3862,'t Woud,Nijkerk,Gelderland
2636,2636,'t Woudt,Midden-Delfland,Zuid-Holland
9261,9261,'t Wytfean,Tytsjerksteradiel,Friesland
5131,5131,'t Zand,Alphen-Chaam,Noord-Brabant
5831,5831,'t Zand,Boxmeer,Noord-Brabant
8051,8051,'t Zand,Hattem,Gelderland
6663,6663,'t Zand,Nijmegen,Gelderland
4254,4254,'t Zand,Werkendam,Noord-Brabant
1756,1756,'t Zand,Zijpe,Noord-Holland
9987,9987,'t Zandstervoorwerk,Loppersum,Groningen
9915,9915,'t Zandt,Loppersum,Groningen
7611,7611,Aadorp,Almelo,Overijssel
4363,4363,Aagtekerke,Veere,Zeeland
6336,6336,Aalbeek,Nuth,Limburg
7854,7854,Aalden,Coevorden,Drenthe
6595,6595,Aaldonk,Gennep,Limburg
1430,1432,Aalsmeer,Aalsmeer,Noord-Holland
1436,1436,Aalsmeerderbrug,Haarlemmermeer,Noord-Holland
4033,4033,Aalst,Buren,Gelderland
5582,5583,Aalst,Waalre,Noord-Brabant
5308,5308,Aalst,Zaltbommel,Gelderland
9120,9121,Aalsum,Dongeradeel,Friesland
9883,9883,Aalsum,Zuidhorn,Groningen
